;seguradora;date;total_venda;total_receita;valor_recebido;status
220;74;2019-11-01;703,835;0,0;-703,835;Inadimplente
221;75;2019-02-01;50,0;0,0;-50,0;Inadimplente
222;75;2019-07-01;158,82999999999998;0,0;-158,82999999999998;Inadimplente
223;75;2019-09-01;370,505;0,0;-370,505;Inadimplente
224;75;2019-10-01;3605,825;0,0;-3605,825;Inadimplente
225;75;2019-11-01;50,0;1915,995;1865,995;Não inadimplente
226;75;2019-12-01;300,0;87,5;-212,5;Inadimplente
227;75;2020-01-01;-157,92000000000002;0,0;157,92000000000002;Não inadimplente
228;75;2020-02-01;-572,26;0,0;572,26;Não inadimplente
229;75;2020-03-01;50,005;0,0;-50,005;Inadimplente
230;75;2020-06-01;2880,1349999999998;0,0;-2880,1349999999998;Inadimplente
231;77;2019-06-01;11859,25;0,0;-11859,25;Inadimplente
232;77;2019-07-01;2329,63;0,0;-2329,63;Inadimplente
233;77;2019-08-01;2319,855;2329,63;9,775000000000091;Não inadimplente
234;77;2019-10-01;21848,36;0,0;-21848,36;Inadimplente
235;77;2019-11-01;8850,0;2124,18;-6725,82;Inadimplente
236;77;2019-12-01;9181,8575;8850,0;-331,8575000000001;Inadimplente
237;77;2020-01-01;8850,0;0,0;-8850,0;Inadimplente
238;77;2020-03-01;35300,0;0,0;-35300,0;Inadimplente
239;77;2020-05-01;11833,17;0,0;-11833,17;Inadimplente
240;78;2019-01-01;50,0;0,0;-50,0;Inadimplente
241;78;2019-02-01;50,0;0,0;-50,0;Inadimplente
242;78;2019-03-01;50,0;0,0;-50,0;Inadimplente
243;78;2019-04-01;50,0;0,0;-50,0;Inadimplente
244;78;2019-05-01;50,0;0,0;-50,0;Inadimplente
245;78;2019-06-01;50,0;0,0;-50,0;Inadimplente
246;78;2019-07-01;50,0;0,0;-50,0;Inadimplente
247;78;2019-08-01;50,0;0,0;-50,0;Inadimplente
248;78;2019-09-01;50,0;0,0;-50,0;Inadimplente
249;78;2019-10-01;50,0;0,0;-50,0;Inadimplente
250;78;2019-11-01;50,0;0,0;-50,0;Inadimplente
251;78;2019-12-01;50,0;0,0;-50,0;Inadimplente
252;78;2020-01-01;50,0;0,0;-50,0;Inadimplente
253;78;2020-02-01;50,0;0,0;-50,0;Inadimplente
254;78;2020-03-01;50,0;0,0;-50,0;Inadimplente
255;78;2020-04-01;50,0;0,0;-50,0;Inadimplente
