;ano;mes;seguradora;vendedor;tot_apolices;receita;tot_receita;month_name
132;2019;3;13;57;1;146,975;146,975;March
133;2019;4;21;20;2;522,985;1045,97;April
134;2019;4;55;20;3;3119,31;9357,93;April
135;2019;4;55;19;1;270,655;270,655;April
136;2019;4;23;16;2;175,37;350,74;April
137;2019;4;43;56;1;79,255;79,255;April
138;2019;4;44;56;1;173,46;173,46;April
139;2019;4;44;54;1;542,175;542,175;April
140;2019;4;44;42;4;100,465;401,86;April
141;2019;4;44;38;15;1601,595;24023,925;April
142;2019;4;44;35;1;59,5;59,5;April
143;2019;4;44;17;1;59,0;59,0;April
144;2019;4;44;16;3;111,75;335,25;April
145;2019;4;44;12;7;257,275;1800,9249999999997;April
146;2019;4;44;9;4;137,185;548,74;April
147;2019;4;83;56;1;57,77;57,77;April
148;2019;4;64;57;2;146,1;292,2;April
149;2019;4;64;26;6;1669,51;10017,06;April
150;2019;4;64;16;1;394,815;394,815;April
151;2019;4;31;56;2;1233,775;2467,55;April
152;2019;4;31;12;1;3419,16;3419,16;April
153;2019;4;31;9;1;87,5;87,5;April
154;2019;4;66;58;1;58,61;58,61;April
155;2019;4;66;57;2;93,18;186,36;April
156;2019;4;66;56;16;1268,605;20297,68;April
157;2019;4;66;55;2;111,45;222,9;April
158;2019;4;66;54;1;70,52;70,52;April
159;2019;4;66;52;1;113,815;113,815;April
160;2019;4;66;41;1;286,795;286,795;April
161;2019;4;66;38;5;1268,66;6343,3;April
162;2019;4;66;20;2;520,37;1040,74;April
163;2019;4;66;19;1;97,6;97,6;April
164;2019;4;66;16;6;452,685;2716,11;April
165;2019;4;66;14;7;1980,64;13864,480000000001;April
166;2019;4;66;1;2;177,54;355,08;April
167;2019;4;72;58;1;325,62;325,62;April
168;2019;4;72;57;5;381,14;1905,6999999999998;April
169;2019;4;72;56;16;1602,375;25638,0;April
170;2019;4;72;55;1;487,06;487,06;April
171;2019;4;72;54;6;4437,425;26624,550000000003;April
172;2019;4;72;52;1;234,125;234,125;April
173;2019;4;72;47;5;234,245;1171,225;April
174;2019;4;72;46;1;225,065;225,065;April
175;2019;4;72;43;3;284,92;854,76;April
176;2019;4;72;42;2;111,715;223,43;April
177;2019;4;72;41;1;651,81;651,81;April
178;2019;4;72;39;1;6269,195;6269,195;April
179;2019;4;72;38;15;6013,9;90208,5;April
180;2019;4;72;35;3;284,88;854,64;April
181;2019;4;72;20;2;725,55;1451,1;April
182;2019;4;72;19;11;5873,685;64610,535;April
183;2019;4;72;16;9;3636,405;32727,645;April
184;2019;4;72;14;8;5634,165;45073,32;April
185;2019;4;72;12;9;5312,975;47816,775;April
186;2019;4;72;9;2;152,21;304,42;April
187;2019;4;72;1;4;1095,23;4380,92;April
188;2019;5;72;59;2;115,81;231,62;May
189;2019;5;72;57;1;94,59;94,59;May
190;2019;5;72;56;2;1767,72;3535,44;May
191;2019;5;72;55;1;487,06;487,06;May
192;2019;5;72;54;5;3273,49;16367,449999999999;May
193;2019;5;72;47;1;56,375;56,375;May
194;2019;5;72;43;2;457,345;914,69;May
195;2019;5;72;38;4;624,355;2497,42;May
196;2019;5;72;20;1;430,545;430,545;May
197;2019;5;72;19;7;4823,11;33761,77;May
198;2019;5;72;17;7;1266,63;8866,41;May
199;2019;5;72;16;5;1843,695;9218,475;May
200;2019;5;72;14;7;1648,115;11536,805;May
201;2019;5;72;12;10;1133,035;11330,35;May
202;2019;5;72;9;2;284,885;569,77;May
203;2019;5;72;1;2;710,345;1420,69;May
204;2019;5;66;58;1;361,155;361,155;May
205;2019;5;66;57;3;107,415;322,245;May
206;2019;5;66;56;6;695,255;4171,53;May
207;2019;5;66;55;4;67,74;270,96;May
208;2019;5;66;54;2;1026,33;2052,66;May
209;2019;5;66;52;2;284,555;569,11;May
210;2019;5;66;47;2;161,875;323,75;May
211;2019;5;66;44;1;87,475;87,475;May
212;2019;5;66;43;1;89,185;89,185;May
213;2019;5;66;42;1;162,96;162,96;May
214;2019;5;66;38;2;177,175;354,35;May
215;2019;5;66;20;5;372,065;1860,325;May
216;2019;5;66;19;11;540,59;5946,490000000001;May
217;2019;5;66;17;1;71,42;71,42;May
218;2019;5;66;16;8;370,93;2967,44;May
219;2019;5;66;14;10;678,465;6784,650000000001;May
220;2019;5;66;1;3;238,88;716,64;May
221;2019;5;31;57;6;4430,165;26580,989999999998;May
222;2019;5;31;26;1;-4622,065;-4622,065;May
223;2019;5;31;16;2;2369,195;4738,39;May
224;2019;5;31;12;3;5040,75;15122,25;May
225;2019;5;31;1;1;108,4;108,4;May
226;2019;5;64;57;5;294,575;1472,875;May
227;2019;5;64;16;3;450,53;1351,59;May
228;2019;5;83;42;1;60,385;60,385;May
229;2019;5;81;54;1;82,06;82,06;May
230;2019;5;44;58;1;82,86;82,86;May
231;2019;5;44;54;7;807,045;5649,315;May
232;2019;5;44;42;4;227,83;911,32;May
233;2019;5;44;39;1;61,875;61,875;May
234;2019;5;44;38;13;689,555;8964,215;May
235;2019;5;44;35;1;75,0;75,0;May
236;2019;5;44;17;1;41,0;41,0;May
237;2019;5;44;16;4;952,825;3811,3;May
238;2019;5;44;14;1;2161,05;2161,05;May
239;2019;5;44;12;7;929,11;6503,77;May
240;2019;5;44;9;7;451,305;3159,135;May
241;2019;5;43;56;1;79,255;79,255;May
242;2019;5;23;56;1;566,35;566,35;May
243;2019;5;21;54;1;-171,935;-171,935;May
244;2019;5;21;20;3;597,11;1791,33;May
245;2019;5;19;54;1;330,865;330,865;May
246;2019;6;19;54;1;330,865;330,865;June
247;2019;6;42;20;1;234,005;234,005;June
248;2019;6;21;20;4;678,315;2713,26;June
249;2019;6;21;16;1;60,365;60,365;June
250;2019;6;13;18;1;314,14;314,14;June
251;2019;6;13;16;1;224,565;224,565;June
252;2019;6;23;56;1;153,295;153,295;June
253;2019;6;43;56;2;97,895;195,79;June
254;2019;6;55;57;1;4963,17;4963,17;June
255;2019;6;55;20;5;6644,87;33224,35;June
256;2019;6;44;56;3;3542,07;10626,210000000001;June
257;2019;6;44;42;1;61,875;61,875;June
258;2019;6;44;39;2;75,275;150,55;June
259;2019;6;44;38;5;178,895;894,475;June
260;2019;6;44;20;1;78,485;78,485;June
261;2019;6;44;16;5;344,415;1722,075;June
262;2019;6;44;15;1;520,705;520,705;June
263;2019;6;44;14;8;300,69;2405,52;June
264;2019;6;44;12;5;181,6;908,0;June
265;2019;6;44;9;3;139,74;419,22;June
266;2019;6;81;54;1;115,085;115,085;June
267;2019;6;83;56;1;57,77;57,77;June
268;2019;6;83;42;1;60,385;60,385;June
269;2019;6;64;57;2;220,85;441,7;June
270;2019;6;64;16;1;394,815;394,815;June
271;2019;6;31;57;3;314,825;944,4749999999999;June
272;2019;6;31;56;1;810,42;810,42;June
273;2019;6;31;38;1;675,28;675,28;June
274;2019;6;31;16;1;240,65;240,65;June
275;2019;6;31;12;1;163,51;163,51;June
276;2019;6;31;9;1;127,785;127,785;June
277;2019;6;66;57;9;909,48;8185,32;June
278;2019;6;66;56;5;308,24;1541,2;June
279;2019;6;66;55;6;115,155;690,9300000000001;June
280;2019;6;66;54;1;382,205;382,205;June
281;2019;6;66;46;1;76,825;76,825;June
282;2019;6;66;43;1;100,06;100,06;June
283;2019;6;66;42;3;210,96;632,88;June
284;2019;6;66;38;5;1244,415;6222,075;June
285;2019;6;66;20;11;410,665;4517,3150000000005;June
286;2019;6;66;19;11;1066,66;11733,26;June
287;2019;6;66;16;4;315,645;1262,58;June
288;2019;6;66;14;1;88,84;88,84;June
289;2019;6;66;2;1;75,0;75,0;June
290;2019;6;66;1;2;594,02;1188,04;June
291;2019;6;72;59;2;92,84;185,68;June
292;2019;6;72;57;4;1837,075;7348,3;June
293;2019;6;72;56;11;14808,835;162897,185;June
294;2019;6;72;55;3;1977,6;5932,799999999999;June
295;2019;6;72;54;3;2641,08;7923,24;June
296;2019;6;72;47;3;232,84;698,52;June
297;2019;6;72;46;1;225,065;225,065;June
298;2019;6;72;43;5;364,735;1823,6750000000002;June
299;2019;6;72;42;2;371,19;742,38;June
300;2019;6;72;41;1;457,815;457,815;June
301;2019;6;72;39;1;621,07;621,07;June
302;2019;6;72;38;1;199,645;199,645;June
303;2019;6;72;35;4;581,96;2327,84;June
304;2019;6;72;20;1;90,16;90,16;June
305;2019;6;72;19;5;1601,285;8006,425;June
306;2019;6;72;17;2;553,31;1106,62;June
307;2019;6;72;16;17;4668,9;79371,29999999999;June
308;2019;6;72;14;10;2275,985;22759,850000000002;June
309;2019;6;72;12;14;2543,39;35607,46;June
310;2019;6;72;9;4;750,885;3003,54;June
311;2019;6;72;1;2;673,84;1347,68;June
312;2019;7;72;59;1;100,24;100,24;July
313;2019;7;72;57;13;2716,105;35309,365;July
314;2019;7;72;56;6;476,93;2861,58;July
315;2019;7;72;54;2;518,665;1037,33;July
316;2019;7;72;47;2;246,29;492,58;July
317;2019;7;72;46;1;225,065;225,065;July
318;2019;7;72;43;3;1000,52;3001,56;July
319;2019;7;72;42;3;251,515;754,545;July
320;2019;7;72;41;2;2633,815;5267,63;July
321;2019;7;72;39;2;990,6;1981,2;July
322;2019;7;72;38;15;2004,27;30064,05;July
323;2019;7;72;35;11;928,035;10208,385;July
324;2019;7;72;20;5;3858,925;19294,625;July
325;2019;7;72;19;2;678,34;1356,68;July
326;2019;7;72;18;2;-705,945;-1411,89;July
327;2019;7;72;17;1;453,58;453,58;July
328;2019;7;72;16;12;3043,705;36524,46;July
329;2019;7;72;14;15;5740,98;86114,7;July
330;2019;7;72;12;12;231,945;2783,34;July
331;2019;7;72;9;1;62,75;62,75;July
332;2019;7;72;2;3;377,235;1131,705;July
333;2019;7;72;1;2;252,37;504,74;July
334;2019;7;66;59;1;71,42;71,42;July
335;2019;7;66;58;2;86,535;173,07;July
336;2019;7;66;57;5;341,745;1708,725;July
337;2019;7;66;56;11;544,595;5990,545;July
338;2019;7;66;55;5;165,325;826,625;July
339;2019;7;66;54;2;499,5;999,0;July
340;2019;7;66;52;1;123,65;123,65;July
341;2019;7;66;43;1;94,145;94,145;July
342;2019;7;66;42;3;617,605;1852,815;July
343;2019;7;66;39;1;153,21;153,21;July
344;2019;7;66;38;5;989,715;4948,575;July
345;2019;7;66;35;12;233,08;2796,96;July
346;2019;7;66;20;6;963,985;5783,91;July
347;2019;7;66;19;6;262,655;1575,9299999999998;July
348;2019;7;66;17;3;449,58;1348,74;July
349;2019;7;66;16;17;1452,33;24689,61;July
350;2019;7;66;14;4;533,73;2134,92;July
351;2019;7;66;6;1;13704,52;13704,52;July
352;2019;7;66;1;3;129,71;389,13;July
353;2019;7;31;56;1;981,415;981,415;July
354;2019;7;31;54;2;2892,38;5784,76;July
355;2019;7;31;47;1;828,81;828,81;July
356;2019;7;31;39;1;136,89;136,89;July
357;2019;7;31;35;2;-901,49;-1802,98;July
358;2019;7;31;16;3;1719,895;5159,6849999999995;July
359;2019;7;31;9;3;162,5;487,5;July
360;2019;7;64;57;2;185,355;370,71;July
361;2019;7;64;26;3;1717,98;5153,9400000000005;July
362;2019;7;64;16;3;535,085;1605,255;July
363;2019;7;83;54;1;612,55;612,55;July
364;2019;7;83;42;2;72,035;144,07;July
365;2019;7;83;16;1;-68,465;-68,465;July
366;2019;7;74;2;1;58,35;58,35;July
367;2019;7;44;56;2;97,5;195,0;July
368;2019;7;44;54;3;416,93;1250,79;July
369;2019;7;44;47;1;100,0;100,0;July
370;2019;7;44;43;1;155,43;155,43;July
371;2019;7;44;42;8;377,44;3019,52;July
372;2019;7;44;39;1;61,875;61,875;July
373;2019;7;44;38;15;456,79;6851,85;July
374;2019;7;44;17;1;72,5;72,5;July
375;2019;7;44;16;8;372,3;2978,4;July
376;2019;7;44;14;7;240,425;1682,9750000000001;July
377;2019;7;44;13;1;150,0;150,0;July
378;2019;7;44;12;5;342,94;1714,7;July
379;2019;7;44;9;3;314,71;944,1299999999999;July
380;2019;7;55;57;1;2506,585;2506,585;July
381;2019;7;55;20;1;174,565;174,565;July
382;2019;7;23;9;1;300,76;300,76;July
383;2019;7;13;57;1;110,3;110,3;July
384;2019;7;13;16;1;250,51;250,51;July
385;2019;7;21;20;2;258,145;516,29;July
386;2019;7;42;58;1;219,05;219,05;July
387;2019;7;19;54;1;388,785;388,785;July
388;2019;8;19;54;1;388,785;388,785;August
389;2019;8;19;13;1;335,625;335,625;August
390;2019;8;21;16;1;159,54;159,54;August
391;2019;8;6;12;1;-137,08;-137,08;August
392;2019;8;23;16;1;2201,69;2201,69;August
393;2019;8;43;17;1;130,93;130,93;August
394;2019;8;54;42;1;1031,16;1031,16;August
395;2019;8;75;22;1;87,5;87,5;August
396;2019;8;62;22;1;318,28;318,28;August
397;2019;8;55;20;1;1229,275;1229,275;August
398;2019;8;55;19;1;8396,83;8396,83;August
399;2019;8;44;42;6;308,765;1852,59;August
400;2019;8;44;38;5;275,635;1378,175;August
401;2019;8;44;35;1;61,875;61,875;August
402;2019;8;44;16;8;237,575;1900,6;August
403;2019;8;44;14;5;168,75;843,75;August
404;2019;8;44;12;4;162,77;651,08;August
405;2019;8;44;9;2;97,5;195,0;August
406;2019;8;44;2;1;69,0;69,0;August
407;2019;8;44;1;1;130,78;130,78;August
408;2019;8;74;20;2;1627,375;3254,75;August
409;2019;8;77;20;1;2329,63;2329,63;August
410;2019;8;81;47;3;172,4;517,2;August
411;2019;8;83;54;1;612,56;612,56;August
412;2019;8;83;42;1;89,955;89,955;August
413;2019;8;64;57;1;604,7;604,7;August
414;2019;8;64;26;1;1334,875;1334,875;August
415;2019;8;64;16;1;97,115;97,115;August
416;2019;8;31;57;5;2434,175;12170,875;August
417;2019;8;31;39;1;68,75;68,75;August
418;2019;8;31;38;3;1129,04;3387,12;August
419;2019;8;31;35;6;4350,955;26105,73;August
420;2019;8;31;16;7;4139,555;28976,885000000002;August
421;2019;8;31;14;1;210,17;210,17;August
422;2019;8;66;59;3;53,68;161,04;August
423;2019;8;66;58;1;82,87;82,87;August
424;2019;8;66;57;7;958,185;6707,295;August
425;2019;8;66;56;6;572,185;3433,1099999999997;August
426;2019;8;66;55;1;71,415;71,415;August
427;2019;8;66;47;2;121,835;243,67;August
428;2019;8;66;44;1;98,215;98,215;August
429;2019;8;66;43;8;1084,645;8677,16;August
430;2019;8;66;39;1;77,005;77,005;August
431;2019;8;66;38;5;332,2;1661,0;August
432;2019;8;66;35;6;320,61;1923,66;August
433;2019;8;66;20;4;165,665;662,66;August
434;2019;8;66;19;20;2017,99;40359,8;August
435;2019;8;66;17;1;146,43;146,43;August
436;2019;8;66;16;8;822,7;6581,6;August
437;2019;8;66;14;7;560,98;3926,86;August
438;2019;8;66;9;2;204,795;409,59;August
439;2019;8;66;2;7;344,87;2414,09;August
440;2019;8;66;1;1;488,505;488,505;August
441;2019;8;72;59;5;1160,47;5802,35;August
442;2019;8;72;56;9;3789,495;34105,455;August
443;2019;8;72;54;1;165,34;165,34;August
444;2019;8;72;47;3;1150,075;3450,2250000000004;August
445;2019;8;72;43;6;687,795;4126,7699999999995;August
446;2019;8;72;42;5;1152,795;5763,975;August
447;2019;8;72;41;5;1204,66;6023,3;August
448;2019;8;72;38;5;642,175;3210,875;August
449;2019;8;72;35;7;-515,955;-3611,6850000000004;August
450;2019;8;72;20;3;2650,24;7950,719999999999;August
451;2019;8;72;19;3;819,595;2458,785;August
452;2019;8;72;16;15;4600,555;69008,32500000001;August
453;2019;8;72;14;8;2642,67;21141,36;August
454;2019;8;72;13;1;90,195;90,195;August
455;2019;8;72;12;22;1203,275;26472,050000000003;August
456;2019;8;72;9;3;1237,475;3712,4249999999997;August
457;2019;8;72;2;4;150,45;601,8;August
458;2019;8;72;1;1;289,75;289,75;August
459;2019;9;72;59;4;178,205;712,82;September
460;2019;9;72;57;1;245,15;245,15;September
461;2019;9;72;56;1;349,15;349,15;September
462;2019;9;72;47;1;362,145;362,145;September
463;2019;9;72;43;2;285,625;571,25;September
464;2019;9;72;42;1;119,145;119,145;September
465;2019;9;72;39;2;283,46;566,92;September
466;2019;9;72;38;3;1917,585;5752,755;September
467;2019;9;72;17;2;266,29;532,58;September
468;2019;9;72;16;8;4005,715;32045,72;September
469;2019;9;72;15;1;261,175;261,175;September
470;2019;9;72;14;7;3294,63;23062,41;September
471;2019;9;72;12;7;912,035;6384,245;September
472;2019;9;72;9;3;382,33;1146,99;September
473;2019;9;72;2;3;1297,45;3892,3500000000004;September
474;2019;9;66;57;5;797,215;3986,0750000000003;September
475;2019;9;66;56;4;158,615;634,46;September
476;2019;9;66;55;3;311,84;935,52;September
477;2019;9;66;44;2;209,445;418,89;September
478;2019;9;66;43;1;150,19;150,19;September
479;2019;9;66;42;1;289,705;289,705;September
480;2019;9;66;39;4;687,2;2748,8;September
481;2019;9;66;38;1;60,71;60,71;September
482;2019;9;66;35;1;108,935;108,935;September
483;2019;9;66;20;6;306,545;1839,27;September
484;2019;9;66;19;20;2330,84;46616,8;September
485;2019;9;66;16;17;936,64;15922,88;September
486;2019;9;66;14;3;291,235;873,705;September
487;2019;9;66;9;3;348,13;1044,3899999999999;September
488;2019;9;66;1;2;348,825;697,65;September
489;2019;9;31;57;3;718,2;2154,6000000000004;September
490;2019;9;31;38;3;1133,13;3399,3900000000003;September
491;2019;9;31;35;3;6252,6;18757,800000000003;September
492;2019;9;31;16;3;1302,7;3908,1000000000004;September
493;2019;9;31;9;5;233,235;1166,1750000000002;September
494;2019;9;64;57;1;327,35;327,35;September
495;2019;9;64;26;2;455,385;910,77;September
496;2019;9;64;16;2;246,85;493,7;September
497;2019;9;83;54;1;612,56;612,56;September
498;2019;9;83;42;1;73,3;73,3;September
499;2019;9;77;20;1;2319,855;2319,855;September
500;2019;9;44;59;1;71,25;71,25;September
501;2019;9;44;57;1;200,94;200,94;September
502;2019;9;44;54;1;100,0;100,0;September
503;2019;9;44;42;10;518,485;5184,85;September
504;2019;9;44;39;1;61,875;61,875;September
505;2019;9;44;38;6;444,77;2668,62;September
506;2019;9;44;17;3;118,875;356,625;September
507;2019;9;44;16;9;839,765;7557,885;September
508;2019;9;44;14;1;74,19;74,19;September
509;2019;9;44;12;7;787,86;5515,02;September
510;2019;9;44;9;3;125,205;375,615;September
511;2019;9;55;20;1;479,22;479,22;September
512;2019;9;55;12;1;25766,23;25766,23;September
